FighterID,Name,Height,Weight,Reach,DOB,SSPM,StrkACC,SSAbsPM,StrkDEF,TDAVG,TDACC,TDDEF,SUBAVG,Wins,Losses,WLDiff,Fire
d6ead04919a894b1,Duda Santana,"5'7""",145,73,1996,6.01,0.39,2.72,0.73,6.44,0.6,0,0,0,1,-1,-1
cc39185f2d7d89e4,Daniel Swain,"5'9""",145,70,1991,0.8,0.44,3.2,0.4,0,0,0,6,0,1,-1,-1
a9a314cc77d90b6e,Wade Shipp,"6'3""",245,,1975,4.29,0.86,2.14,0,0,0,0.75,0,0,1,-1,-1
aee8eecfc4bfb1e7,Bobby Southworth,"6'2""",205,,1969,0.99,0.39,1.38,0.65,3.98,0.78,0.64,1.3,3,4,-1,-1
c2299ec916bc7c56,Benoit Saint Denis,"5'11""",155,73,1995,5.59,0.52,5.27,0.44,4.72,0.36,0.8,1.4,4,1,3,2.88
1b0491ef0f9c965e,Shimon Smotritsky,"6'2""",170,74,2000,3.52,0.34,8.67,0.56,3.52,0.33,0.5,0,0,2,-2,-1
b8bbdeff718dbb7d,Pat Sabatini,"5'8""",145,70,1990,1.95,0.59,1.35,0.51,3.83,0.45,0.42,1.9,5,1,4,1
a049aa06508b9c7b,Brandon Saling,"5'10""",170,,1986,2.88,0.4,6.08,0.2,0,0,0.57,0,0,1,-1,-1
55b8dc4e54fe2c59,Paulo Cesar Silva,"7'5""",385,,1963,0.4,0.15,2.72,0.47,0.42,1,0.16,0.4,1,6,-5,-1
72782745eb47161a,Mario Sousa,"6'3""",185,79,1996,2.82,0.5,2.99,0.28,0.52,0.25,0.37,0.5,1,2,-1,-1
fe759b24e344d7eb,Emrah Sonmez,"5'10""",145,71,1992,1.47,0.46,1.73,0.48,5,0.21,0,0,0,1,-1,-1
d2bc285ead803db0,Louis Smolka,"5'9""",135,68,1991,4.67,0.47,4.11,0.53,1.69,0.35,0.32,1.8,8,9,-1,-1
17734443a833cdf7,Quillan Salkilld,"6'0""",155,76,1999,0,0,0,0,0,0,0,0,0,0,0,0
63b65af1c5cb02cb,Ken Shamrock,"6'1""",205,72,1964,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5,8,9,-1,-1
e2f6b2769aaedd6c,Serghei Spivac,"6'3""",260,78,1995,3.54,0.49,3.79,0.49,4.56,0.64,0.7,0.5,7,4,3,-1
436cdea7bdfdc016,Yokthai Sithoar,"5'7""",143,,1974,0,0,0,0,0,0,0,0,0,1,-1,-1
ece280745f8727b8,Kamal Shalorus,"5'8""",155,68,1972,3.06,0.32,2.99,0.7,2.07,0.5,0.8,0,3,3,0,-1
696002b59f09d73b,Joseph Sandoval,"5'7""",135,,1986,1.82,0.42,12.12,0.6,0,0,0,0,0,2,-2,-1
029880cdbf5ca089,Sean Sherk,"5'6""",155,67,1973,2.17,0.35,2.71,0.55,4.09,0.46,0.56,0.4,9,4,5,1
12f1b140e248bdb9,Jerrod Sanders,"5'8""",135,72,1979,0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6,1,2,-1,-1
44a1dd0ef4373edc,Jeri Sitzes,"5'5""",125,,  --,0,0,0,0,0,0,0,0,1,0,1,1
55e94a9b525dcf45,Kenneth Seegrist,"6'0""",185,,  --,3.21,0.66,1.28,0,0,0,0.4,14.4,0,1,-1,-1
85ff1b9471d35238,Dmitry Sosnovskiy,"6'3""",240,77,1989,2.95,0.7,2.53,0.35,3.16,0.66,1,3.2,1,0,1,1
eaa9402e5a7990ad,Braxton Smith,"5'11""",257,72,1990,6.46,0.48,11.54,0.32,0,0,1,0,0,1,-1,-1
556347e2b0e33979,Chad Sutton,"6'1""",185,,1982,0,0,0,0,0,0,0,0,0,1,-1,-1
88d7b6d8230e1f3f,Saparbeg Safarov,"6'1""",185,78,1986,4.03,0.48,2.96,0.47,2.52,0.41,0.33,0,1,3,-2,-1
9ba2226646046b63,Frankie Saenz,"5'6""",135,66,1980,3.94,0.47,3.5,0.52,1.74,0.31,0.61,0.1,5,5,0,-1
